Hindi,English
जैसा,as
मैं,I
उसके,his
कि,that
वह,he
था,was
के लिए,for
पर,on
हैं,are
साथ,with
वे,they
हो,be
पर,at
एक,one
है,have
इस,this
से,from
द्वारा,by
गरम,hot
शब्द,word
लेकिन,but
क्या,what
कुछ,some
है,is
यह,it
आप,you
या,or
था,had
,
की,of
तक,to
और,and
एक,a
में,in
हम,we
कर सकते हैं,can
बाहर,out
अन्य,other
थे,were
जो,which
कर,do
उनके,their
समय,time
अगर,if
होगा,will
कैसे,how
कहा,said
एक,an
प्रत्येक,each
बता,tell
करता है,does
सेट,set
तीन,three
चाहते हैं,want
हवा,air
अच्छी तरह से,well
भी,also
खेलने,play
छोटे,small
अंत,end
डाल,put
घर,home
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
का पालन करें,follow
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
तस्वीर,picture
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
पृथ्वी,earth
पिता,father
किसी भी,any
नई,new
काम,work
हिस्सा,part
लेना,take
प्राप्त,get
जगह,place
निर्मित,made
जीना,live
जहां,where
के बाद,after
वापस,back
थोड़ा,little
केवल,only
दौर,round
आदमी,man
वर्ष,year
आया,came
शो,show
हर,every
अच्छा,good
मुझे,me
दे,give
हमारे,our
नीचे,under
नाम,name
बहुत,very
के माध्यम से,through
बस,just
फार्म,form
वाक्य,sentence
महान,great
लगता है,think
कहना,say
मदद,help
कम,low
रेखा,line
अलग,differ
बारी,turn
कारण,cause
ज्यादा,much
मतलब,mean
पहले,before
चाल,move
सही,right
लड़का,boy
पुराना,old
भी,too
वही,same
वह,she
सब,all
वहाँ,there
जब,when
ऊपर,up
उपयोग,use
अपने,your
रास्ता,way
के बारे में,about
कई,many
तो,then
उन्हें,them
लिखना,write
होगा,would
जैसा,like
तो,so
इन,these
उसके,her
लंबे समय तक,long
कर,make
बात,thing
देखना,see
उसे,him
दो,two
है,has
देखो,look
अधिक,more
दिन,day
सकता है,could
जाना,go
आ,come
किया,did
संख्या,number
ध्वनि,sound
नहीं,no
सबसे,most
लोग,people
मेरे,my
अधिक,over
पता,know
पानी,water
से,than
कॉल,call
पहले,first
कौन,who
मई,may
नीचे,down
पक्ष,side
गया,been
अब,now
लगता है,find
सिर,head
खड़े,stand
खुद,own
पेज,page
चाहिए,should
देश,country
पाया,found
जवाब,answer
स्कूल,school
बढ़ने,grow
अध्ययन,study
अब तक,still
सीखना,learn
संयंत्र,plant
कवर,cover
भोजन,food
सूरज,sun
चार,four
के बीच,between
राज्य,state
रखना,keep
आंख,eye
कभी नहीं,never
पिछले,last
चलो,let
सोचा,thought
शहर,city
पेड़,tree
पार,cross
खेत,farm
कठिन,hard
शुरुआत,start
हो सकता है,might
कहानी,story
देखा,saw
दूर,far
समुद्र,sea
आकर्षित,draw
छोड़ा,left
देर से,late
चलाने,run
ऐसा नहीं,don’t
जबकि,while
प्रेस,press
करीब,close
रात,night
असली,real
जीवन,life
कुछ,few
उत्तर,north
किताब,book
ले,carry
ले लिया,took
विज्ञान,science
खाने,eat
कमरे,room
दोस्त,friend
शुरू हुआ,began
विचार,idea
मछली,fish
पहाड़,mountain
रोक,stop
एक बार,once
आधार,base
सुनना,hear
घोड़ा,horse
कटौती,cut
यकीन,sure
घड़ी,watch
रंग,color
चेहरा,face
लकड़ी,wood
मुख्य,main
खुला,open
प्रतीत,seem
एक साथ,together
अगला,next
सफेद,white
बच्चों,children
प्रारंभ करना,begin
मिला,got
चलना,walk
उदाहरण,example
आसानी,ease
कागज,paper
समूह,group
सदैव,always
संगीत,music
उन,those
दोनों,both
मार्क,mark
अक्सर,often
पत्र,letter
जब तक,until
मील,mile
नदी,river
कार,car
पैर,feet
देखभाल,care
दूसरा,second
पर्याप्त,enough
सादे,plain
लड़की,girl
हमेशा की तरह,usual
युवा,young
तैयार,ready
ऊपर,above
कभी,ever
लाल,red
सूची,list
हालांकि,though
लग रहा है,feel
वार्ता,talk
पक्षी,bird
शीघ्र,soon
शरीर,body
कुत्ते,dog
परिवार,family
प्रत्यक्ष,direct
ढोंग,pose
छोड़,leave
गीत,song
नाप,measure
दरवाजा,door
उत्पाद,product
काला,black
कम,short
अंक,numeral
क्लास,class
हवा,wind
सवाल,question
होना,happen
पूरा,complete
जहाज,ship
क्षेत्र,area
आधा,half
रॉक,rock
आदेश,order
आग,fire
दक्षिण,south
समस्या,problem
टुकड़ा,piece
बताया,told
पता था,knew
पास,pass
के बाद से,since
शीर्ष,top
पूरे,whole
राजा,king
सड़क,street
इंच,inch
गुणा,multiply
कुछ नहीं,nothing
कोर्स,course
रहना,stay
पहिया,wheel
पूर्ण,full
बल,force
नीला,blue
वस्तु,object
तय,decide
सतह,surface
गहरा,deep
चांद,moon
द्वीप,island
पैर,foot
प्रणाली,system
व्यस्त,busy
परीक्षण,test
रिकॉर्ड,record
नाव,boat
आम,common
सोना,gold
संभव,possible
विमान,plane
जगह,stead
सूखा,dry
आश्चर्य,wonder
हंसी,laugh
हजार,thousand
पहले,ago
भागा,ran
जाँच,check
खेल,game
आकार,shape
समानता,equate
गरम,hot
मिस,miss
लाया,brought
गर्मी,heat
बर्फ,snow
टायर,tire
लाना,bring
हां,yes
दूर,distant
भरने,fill
पूर्व,east
रंग,paint
भाषा,language
के बीच,among
इकाई,unit
बिजली,power
शहर,town
ठीक,fine
कुछ,certain
मक्खी,fly
गिरावट,fall
नेतृत्व,lead
रोना,cry
अंधेरा,dark
मशीन,machine
नोट,note
इंतजार,wait
योजना,plan
आंकड़ा,figure
सितारा,star
बॉक्स,box
संज्ञा,noun
क्षेत्र,field
बाकी,rest
सही,correct
सक्षम,able
पाउंड,pound
किया,done
सुंदरता,beauty
ड्राइव,drive
खड़ा हुआ,stood
होते हैं,contain
सामने,front
सिखाना,teach
सप्ताह,week
अंतिम,final
दिया,gave
हरे रंग,green
ओह,oh
त्वरित,quick
विकसित,develop
सागर,ocean
गर्म,warm
मुक्त,free
मिनट,minute
मजबूत,strong
विशेष,special
मन,mind
पीछे,behind
स्पष्ट,clear
पूंछ,tail
उत्पादन,produce
तथ्य,fact
अंतरिक्ष,space
सुना,heard
सर्वश्रेष्ठ,best
घंटे,hour
बेहतर,better
सच,TRUE
दौरान,during
सौ,hundred
पांच,five
याद,remember
कदम,step
शीघ्र,early
पकड़,hold
पश्चिम,west
जमीन,ground
ब्याज,interest
तक पहुँचने,reach
तेजी,fast
क्रिया,verb
गाना,sing
सुनो,listen
छह,six
तालिका,table
यात्रा,travel
कम,less
सुबह,morning
दस,ten
सरल,simple
कई,several
स्वर,vowel
की ओर,toward
युद्ध,war
रखना,lay
के खिलाफ,against
पैटर्न,pattern
धीमी,slow
केंद्र,center
प्यार,love
व्यक्ति,person
धन,money
सेवा कर,serve
प्रकट,appear
सड़क,road
नक्शा,map
बारिश,rain
नियम,rule
शासन,govern
खींच,pull
ठंड,cold
नोटिस,notice
आवाज,voice