Kannada,English
ಮಾಹಿತಿ,Information
ನಾನು,I have
ಅವರ,His
ಆ,That
ಅವರು,They
ಆಗಿತ್ತು,It was
ಫಾರ್,Of
ಮೇಲೆ,On
ಇವೆ,There are
ಜೊತೆ,With
ಅವರು,They
ಎಂದು,That
ನಲ್ಲಿ,At the
ಒಂದು,One
ಹೊಂದಿವೆ,Have
ಈ,This
ರಿಂದ,From
ಮೂಲಕ,By
ಬಿಸಿ,Heating
ಪದ,The word
ಆದರೆ,"However,"
ಏನು,What
ಕೆಲವು,Some
ಆಗಿದೆ,Is
ಇದು,It is
ನೀವು,You
ಅಥವಾ,Or
ಹೊಂದಿತ್ತು,Had
ದಿ,The
ನ,Of
ಗೆ,From
ಮತ್ತು,And
ಒಂದು,One
ರಲ್ಲಿ,In the
ನಾವು,We are
ಮಾಡಬಹುದು,Can
ಔಟ್,Out
ಇತರ,Other
ಎಂದು,That
ಇದು,It is
ಹಾಗೆ,Like
ತಮ್ಮ,Their
ಸಮಯ,Time
ವೇಳೆ,If the
ತಿನ್ನುವೆ,Will
ಹೇಗೆ,How
ಹೇಳಿದರು,"Said,"
ಒಂದು,One
ಪ್ರತಿ,Each
ಹೇಳಲು,To say
ಮಾಡುತ್ತದೆ,Will
ಸೆಟ್,Set
ಮೂರು,The three
ಬಯಸುವ,Want
ಗಾಳಿ,Wind
ಹಾಗೂ,And
ಸಹ,Also
ಆಡಲು,Play
ಸಣ್ಣ,Small
ಕೊನೆಯಲ್ಲಿ,At the end of
ಪುಟ್,Put the
ಮನೆ,House
ಓದಲು,Read
ಕೈ,Hand
ಬಂದರು,Harbor
ದೊಡ್ಡ,Help
ಕಾಗುಣಿತ,Spelling
ಸೇರಿಸಬಹುದು,.It
ಸಹ,Also
ಭೂಮಿ,The land
ಇಲ್ಲಿ,Here
ಮಾಡಬೇಕಾಗುತ್ತದೆ,Need
ದೊಡ್ಡ,Help
ಹೆಚ್ಚಿನ,More
ಇಂತಹ,Help
ಅನುಸರಿಸಿ,Follow
ಆಕ್ಟ್,The Act
ಏಕೆ,Why
ಕೇಳಿ,Ask the
ಪುರುಷರು,Men
ಬದಲಾವಣೆ,Change
ಹೋದರು,Went to
ಬೆಳಕಿನ,Light
ರೀತಿಯ,Kind of
ಆಫ್,Of
ಅಗತ್ಯವಿದೆ,Need
ಮನೆ,House
ಚಿತ್ರ,Image
ಪ್ರಯತ್ನಿಸಿ,Try
ನಮಗೆ,Us
ಮತ್ತೆ,Again
ಪ್ರಾಣಿ,The animal
ಪಾಯಿಂಟ್,The point
ತಾಯಿ,Mother
ವಿಶ್ವದ,The world
ಬಳಿ,Near the
ನಿರ್ಮಿಸಲು,To build
ಸ್ವಯಂ,Auto
ಭೂಮಿಯ,Earth
ತಂದೆ,Father
ಯಾವುದೇ,Any
ಹೊಸ,New
ಕೆಲಸ,Working
ಭಾಗ,Part
ತೆಗೆದುಕೊಳ್ಳಲು,Take
ಪಡೆಯಲು,To get
ಸ್ಥಾನ,A place
ಮಾಡಿದ,Done
ಲೈವ್,Live
ಎಲ್ಲಿ,Where is the
ನಂತರ,Then
ಮತ್ತೆ,Again
ಕಡಿಮೆ,Low
ಮಾತ್ರ,Only
ಸುತ್ತಿನಲ್ಲಿ,Round
ವ್ಯಕ್ತಿ,Person
ವರ್ಷ,Year
ಬಂದರು,Harbor
ಪ್ರದರ್ಶನ,Display
ಪ್ರತಿ,Each
ಉತ್ತಮ,Good
ನನಗೆ,Me
ನೀಡಿ,Post
ನಮ್ಮ,Our
ಅಡಿಯಲ್ಲಿ,Under the
ಹೆಸರು,The name
ಅತ್ಯಂತ,The most
ಮೂಲಕ,By
ಕೇವಲ,Just
ರೂಪ,The form
ವಾಕ್ಯ,The sentence
ಮಹಾನ್,Great
ನಗರದ,City
ಹೇಳಲು,To say
ಸಹಾಯ,Help
ಕಡಿಮೆ,Low
ಸಾಲು,Row
ಭಿನ್ನವಾಗಿರುತ್ತವೆ,Differ
ತಿರುವು,Elbow
ಕಾರಣ,Due to the
ಹೆಚ್ಚು,More
ಅರ್ಥ,Meaning
ಮೊದಲು,Before
ನಡೆಸುವಿಕೆಯನ್ನು,The move
ಬಲ,Right
ಹುಡುಗ,The boy
ಹಳೆಯ,The old
ತುಂಬಾ,Too
ಅದೇ,At the same
ಅವರು,They
ಎಲ್ಲಾ,All
ಇಲ್ಲ,There
ಯಾವಾಗ,When
ಅಪ್,Up
ಬಳಕೆ,The use of
ನಿಮ್ಮ,Your
ರೀತಿಯಲ್ಲಿ,Way
ಬಗ್ಗೆ,About
ಅನೇಕ,Many
ನಂತರ,Then
ಅವುಗಳನ್ನು,Them
ಬರೆಯಲು,Write
ಎಂದು,That
ಹಾಗೆ,Like
ಆದ್ದರಿಂದ,So the
ಈ,This
ತನ್ನ,His
ಉದ್ದ,The length of
ಮಾಡಲು,To
ವಿಷಯ,Content
ನೋಡಿ,Look
ಅವರಿಗೆ,To them
ಎರಡು,The two
ಹೊಂದಿದೆ,Has
ನೋಡಲು,Look
ಹೆಚ್ಚು,More
ದಿನ,Day
ಸಾಧ್ಯವೋ,Could
ಹೋಗಿ,Go to
ಬಂದು,And
ಮಾಡಿದರು,Did the
ಸಂಖ್ಯೆ,Number
ಧ್ವನಿ,Sound
ಯಾವುದೇ,Any
ಅತ್ಯಂತ,The most
ಜನರು,People
ನನ್ನ,My
ಮೇಲೆ,On
ಗೊತ್ತು,Know
ನೀರಿನ,The water
ಕ್ಕಿಂತ,Than
ಕರೆ,Call
ಮೊದಲ,First
ಯಾರು,Who
ಮೇ,In May
ಕೆಳಗೆ,Down
ಅಡ್ಡ,The cross
ಬಂದಿದೆ,Has been
ಈಗ,Now
ಹೇಗೆ,How
ತಲೆ,Head
ನಿಲ್ಲಲು,To stand
ಶಾಲೆ,Own
ಪುಟ,Page
ಮಾಡಬೇಕಾದುದು,Should
ದೇಶದ,Country
ಕಂಡುಬಂದಿಲ್ಲ,Found
ಉತ್ತರ,North
ಶಾಲೆಯ,The
ಬೆಳೆಯಲು,Grow
ಅಧ್ಯಯನ,The study
ಇನ್ನೂ,More
ತಿಳಿಯಲು,To know
ಸಸ್ಯ,The plant
ಕವರ್,Cover
ಆಹಾರ,Food
ಸೂರ್ಯ,The sun
ನಾಲ್ಕು,Four
ನಡುವೆ,Among the
ರಾಜ್ಯ,The State
ಇರಿಸಿಕೊಳ್ಳಲು,To keep
ಕಣ್ಣಿನ,The eye
ಎಂದಿಗೂ,Ever
ಕಳೆದ,The
ಅವಕಾಶ,Opportunity
ಭಾವಿಸಲಾಗಿದೆ,Thought
ನಗರದ,City
ಮರ,Wood
ದಾಟಲು,To cross
ಕೃಷಿ,Agriculture
ಹಾರ್ಡ್,Hard
ಆರಂಭ,Commencement
ಅಧಿಕಬಲ,Might
ಕಥೆ,Story
ಗರಗಸದ,Sawmill
ದೂರದ,As far as
ಸಮುದ್ರ,Sea
ಡ್ರಾ,Drawn
ಬಿಟ್ಟು,Leave
ಕೊನೆಯ,The last
ರನ್,The Run
ಹಾಗೆ,Like
ಹಾಗೆಯೇ,As well as
ಪತ್ರಿಕಾ,Press
ಹತ್ತಿರ,Close to
ರಾತ್ರಿ,Night
ನಿಜವಾದ,Real
ಜೀವನ,Life
ಕೆಲವು,Some
ಉತ್ತರ,North
ಪುಸ್ತಕ,Book
ಸಾಗಿಸುವ,Carry
ತೆಗೆದುಕೊಂಡಿತು,Took
ವಿಜ್ಞಾನ,Science
ತಿನ್ನಲು,Eat
ಕೊಠಡಿ,Room
ಸ್ನೇಹಿತ,Friend
ಆರಂಭಿಸಿದರು,Started
ಕಲ್ಪನೆ,The idea
ಮೀನು,Fish
ಪರ್ವತ,Mountain
ನಿಲ್ಲಿಸಲು,To stop
ಒಮ್ಮೆ,Once the
ಮೂಲ,Source
ಕೇಳಲು,Listen to
ಕುದುರೆ,The horse
ಕಟ್,Cut
ಖಚಿತವಾಗಿ,For sure
ವೀಕ್ಷಿಸಲು,View
ಬಣ್ಣ,Color
ಮುಖ,The face
ಮರದ,Wood
ಮುಖ್ಯ,The main
ತೆರೆದ,Open-minded
ತೋರುತ್ತದೆ,It seems
ಒಟ್ಟಿಗೆ,Together
ಮುಂದಿನ,The next
ಬಿಳಿ,White
ಮಕ್ಕಳ,Children
ಆರಂಭಿಸಲು,To start
ಸಿಕ್ಕಿತು,I got
ನಡೆಯಲು,To walk
ಉದಾಹರಣೆಗೆ,"For example,"
ಸರಾಗಗೊಳಿಸುವ,Easing
ಕಾಗದದ,The paper
ಗುಂಪು,Group
ಯಾವಾಗಲೂ,Always
ಸಂಗೀತ,Music
ಆ,That
ಎರಡೂ,Both
ಮಾರ್ಕ್,Mark
ಸಾಮಾನ್ಯವಾಗಿ,In general
ಪತ್ರ,Letter
ರವರೆಗೆ,Until
ಮೈಲಿ,Mi
ನದಿ,The River
ಕಾರು,Car
ಅಡಿ,Ft
ಆರೈಕೆ,Take care
ಎರಡನೇ,Second
ಸಾಕಷ್ಟು,Enough
ಸರಳ,Simple
ಹುಡುಗಿ,Girl
ಸಾಮಾನ್ಯ,Common
ಯುವ,Young
ಸಿದ್ಧ,Ready
ಮೇಲೆ,On
ಇದುವರೆಗೆ,Ever
ಕೆಂಪು,Red
ಪಟ್ಟಿ,List of
ಆದರೂ,"However,"
ಅಭಿಪ್ರಾಯ,Opinion
ಚರ್ಚೆ,Discussions
ಹಕ್ಕಿ,The bird
ಶೀಘ್ರದಲ್ಲೇ,Coming Soon
ದೇಹದ,The body
ನಾಯಿ,The dog
ಕುಟುಂಬ,Family
ನೇರ,Straight
ಭಂಗಿ,Posture
ಬಿಟ್ಟು,Leave
ಹಾಡು,The song
ಅಳೆಯಲು,Measure
ಬಾಗಿಲು,The door
ಉತ್ಪನ್ನ,Product
ಕಪ್ಪು,White
ಸಣ್ಣ,Small
ಸಂಖ್ಯಾವಾಚಕ,Numeral
ವರ್ಗ,Category
ಗಾಳಿ,Wind
ಪ್ರಶ್ನೆ,The question is
ಸಂಭವಿಸಿ,To happen
ಸಂಪೂರ್ಣ,Complete
ಹಡಗು,The ship
ಪ್ರದೇಶ,Area
ಅರ್ಧ,Half of the
ರಾಕ್,The Rock
ಆದೇಶ,The order
ಬೆಂಕಿ,Fire
ದಕ್ಷಿಣ,South
ಸಮಸ್ಯೆ,The problem
ತುಣುಕು,Scrapbooking
ಹೇಳಿದರು,"Said,"
ತಿಳಿದಿತ್ತು,Knew
ಪಾಸ್,Pass
ರಿಂದ,From
ಟಾಪ್,Top
ಇಡೀ,The whole
ರಾಜ,The king
ರಸ್ತೆ,The road
ಇಂಚು,Inches
ಗುಣಿಸಿ,Multiply
ಏನೂ,Nothing
ಕೋರ್ಸ್,Course
ಉಳಿಯಲು,Stay
ಚಕ್ರ,The wheel
ಪೂರ್ಣ,Full
ಶಕ್ತಿ,Energy
ನೀಲಿ,Blue
ವಸ್ತು,Object
ನಿರ್ಧರಿಸಲು,To determine the
ಮೇಲ್ಮೈ,Surface
ಆಳವಾದ,In-depth
ಚಂದ್ರ,The Moon
ದ್ವೀಪದ,The island
ಕಾಲು,Quarter
ವ್ಯವಸ್ಥೆಯ,The system
ಬಿಡುವಿಲ್ಲದ,Busy
ಟೆಸ್ಟ್,Test
ದಾಖಲೆ,Record
ದೋಣಿ,The boat
ಸಾಮಾನ್ಯ,Common
ಚಿನ್ನದ,Posts
ಸಾಧ್ಯ,It is possible to
ವಿಮಾನ,Flight
ಮುಂದಿನ,The next
ಒಣ,Dry
ಆಶ್ಚರ್ಯ,Surprised
ನಗು,Smiley
ಸಾವಿರ,Thousand
ಹಿಂದೆ,Ago
ಓಡಿ,OD
ಪರಿಶೀಲಿಸಿ,Check it out
ಆಟದ,The game
ಆಕಾರ,Shape
ಪೂರಕವಾಗಿಲ್ಲ,Equate
ಬಿಸಿ,Heating
ಮಿಸ್,Miss
ತಂದರು,Brought
ಶಾಖ,Heat
ಹಿಮ,Snow
ಟೈರ್,Tires
ತರಲು,To bring
ಹೌದು,Yes
ದೂರದ,As far as
ತುಂಬಲು,Fill
ಪೂರ್ವ,East
ಬಣ್ಣ,Color
ಭಾಷೆ,The language
ನಡುವೆ,Among the
ಘಟಕ,The unit
ವಿದ್ಯುತ್,Power
ಪಟ್ಟಣದ,The town
ದಂಡ,Fines
ಕೆಲವು,Some
ಹಾರುವ,Fly
ಬೀಳುತ್ತವೆ,Fall
ದಾರಿ,Way
ಕೂಗು,Shout
ಡಾರ್ಕ್,Dark
ಯಂತ್ರ,The machine
ಟಿಪ್ಪಣಿ,Comment
ನಿರೀಕ್ಷಿಸಿ,To wait
ಯೋಜನೆ,Scheme
ವ್ಯಕ್ತಿ,Person
ನಕ್ಷತ್ರ,Star
ಬಾಕ್ಸ್,Box
ನಾಮಪದ,Noun
ಕ್ಷೇತ್ರ,The field
ಉಳಿದ,The rest of
ಸರಿಯಾದ,Right
ಸಾಧ್ಯವಾಗುತ್ತದೆ,Be able to
ಪೌಂಡ್,Pounds
ಮಾಡಲಾಗುತ್ತದೆ,Will be
ಸೌಂದರ್ಯ,Beauty
ಡ್ರೈವ್,Drive
ನಿಂತು,Standing
ಹೊಂದಿರಬೇಕು,Have
ಮುಂದೆ,In front of
ಕಲಿಸಲು,To teach
ವಾರ,The week
ಅಂತಿಮ,The final
ನೀಡಿದರು,Gave the
ಹಸುರು,The green
ಓಹ್,Oh
ತ್ವರಿತ,Quick
ಅಭಿವೃದ್ಧಿ,The development of
ಸಾಗರ,Ocean
ಬೆಚ್ಚಗಿನ,Warm
ಉಚಿತ,Free
ನಿಮಿಷದ,Minute
ಪ್ರಬಲ,A powerful
ವಿಶೇಷ,Special
ಮನಸ್ಸು,The mind
ಹಿಂದೆ,Ago
ಸ್ಪಷ್ಟ,Clear
ಬಾಲ,Tail
ಉತ್ಪತ್ತಿ,Produce
ವಾಸ್ತವವಾಗಿ,The fact that
ಸ್ಪೇಸ್,Space
ಕೇಳಿದ,Hearing
ಉತ್ತಮ,Good
ಗಂಟೆ,Hour
ಉತ್ತಮ,Good
ನಿಜ,"True,"
ಸಮಯದಲ್ಲಿ,At the time of
ನೂರು,One hundred
ಐದು,Digit
ನೆನಪಿಡಿ,Remember
ಹಂತ,Step
ಆರಂಭಿಕ,Early
ಹಿಡಿದುಕೊಳ್ಳಿ,Hold
ಪಶ್ಚಿಮ,Eastern
ನೆಲದ,Ground
ಆಸಕ್ತಿ,Interested in
ತಲುಪಲು,To reach
ವೇಗವಾಗಿ,The faster
ಕ್ರಿಯಾಪದ,Verbs
ಹಾಡಲು,To sing
ಕೇಳಲು,Listen to
ಆರು,The six
ಟೇಬಲ್,Table
ಪ್ರವಾಸ,Tour
ಕಡಿಮೆ,Low
ಬೆಳಿಗ್ಗೆ,In the morning
ಹತ್ತು,Ten
ಸರಳ,Simple
ಹಲವಾರು,Several
ಸ್ವರ,Tones
ಕಡೆಗೆ,Toward the
ಯುದ್ಧ,The battle
ಲೇ,Ley
ವಿರುದ್ಧ,Against
ಮಾದರಿ,Sample
ನಿಧಾನ,Slow
ಸೆಂಟರ್,Center
ಪ್ರೀತಿ,Love
ವ್ಯಕ್ತಿ,Person
ಹಣ,The money
ಸೇವೆ,Service
ದೂರವಾಣಿ,Phone
ರಸ್ತೆ,The road
ನಕ್ಷೆ,Map
ಮಳೆ,The Rain
ನಿಯಮ,The rule
ಆಡಳಿತ,Administration
ಪುಲ್,Pull
ಶೀತ,The cold
ಸೂಚನೆ,NOTE
ಧ್ವನಿ,Sound